Organization,Industry,Breach_Type,Records_Compromised,Detection_Days,Total_Cost_USD,Compliance_Standard,Breach_Year,Industry_encoded,Breach_Type_encoded,Compliance_encoded,High_Cost
Holloway-Jimenez,Healthcare,Ransomware,358790,143,487942,GDPR,2021,3,5,1,0
"Smith, Dickerson and Ali",Education,Ransomware,940047,232,590959,GDPR,2024,0,5,1,1
Huerta Inc,Healthcare,Insider Threat,80073,213,654826,HIPAA,2015,3,2,2,1
Aguirre Group,Education,Credential Theft,849981,79,299712,SOX,2016,0,0,4,0
Meyer-Beck,Healthcare,Ransomware,634222,214,538641,GDPR,2021,3,5,1,1
Wagner Ltd,Government,Malware,760774,116,763928,SOX,2020,2,3,4,1
"Ponce, James and Warner",Technology,Phishing,994347,92,863844,PCI-DSS,2017,5,4,3,1
Pacheco-Parker,Education,Malware,453549,270,507987,CCPA,2024,0,3,0,1
Phillips-Lewis,Retail,Ransomware,287781,168,452411,CCPA,2016,4,5,0,0
Carpenter Ltd,Healthcare,DDoS,494609,58,553804,CCPA,2024,3,1,0,1
"Rojas, Sharp and Mckee",Healthcare,Phishing,864108,284,548727,SOX,2018,3,4,4,1
Faulkner Ltd,Education,Phishing,631910,26,777351,SOX,2017,0,4,4,1
Smith-Hanson,Retail,Insider Threat,547000,66,300721,HIPAA,2021,4,2,2,0
Trujillo LLC,Retail,Insider Threat,225149,248,444025,CCPA,2022,4,2,0,0
"West, Allen and Cline",Government,DDoS,268715,254,276571,HIPAA,2016,2,1,2,0
"Nixon, Phillips and Deleon",Government,Credential Theft,166803,44,297581,CCPA,2024,2,0,0,0
"Watkins, Duarte and Richardson",Government,Phishing,764457,97,575314,HIPAA,2021,2,4,2,1
Wu Group,Government,DDoS,747519,42,661971,HIPAA,2022,2,1,2,1
Wilcox-Hogan,Government,Insider Threat,31448,227,370121,PCI-DSS,2020,2,2,3,0
Ramirez-Moses,Government,Insider Threat,195904,262,654418,HIPAA,2020,2,2,2,1
Thomas Inc,Technology,Phishing,787709,167,722315,SOX,2024,5,4,4,1
"James, Garcia and Martinez",Retail,Malware,135932,279,886941,HIPAA,2015,4,3,2,1
Knapp PLC,Government,Ransomware,295023,89,513949,CCPA,2018,2,5,0,1
Collier-Farley,Retail,Insider Threat,283880,178,372047,HIPAA,2015,4,2,2,0
Carpenter LLC,Retail,Credential Theft,606277,197,299505,GDPR,2018,4,0,1,0
Beasley Ltd,Finance,Credential Theft,53651,307,279641,,2016,1,0,5,0
"Keith, Harmon and Holmes",Technology,Insider Threat,404872,267,749956,CCPA,2019,5,2,0,1
"Thompson, Macias and Brown",Government,Malware,945202,268,196980,GDPR,2024,2,3,1,0
Fletcher-Richardson,Healthcare,Malware,667023,74,743549,CCPA,2023,3,3,0,1
"Greene, Contreras and Clark",Education,DDoS,571207,8,326311,SOX,2024,0,1,4,0
"Jackson, White and Gross",Healthcare,Credential Theft,336014,297,362958,,2017,3,0,5,0
Baker Ltd,Technology,DDoS,420282,164,469688,,2022,5,1,5,0
Hanson Group,Education,Credential Theft,212881,85,359269,SOX,2017,0,0,4,0
Reyes-Walton,Technology,Ransomware,453205,72,686395,,2020,5,5,5,1
"Martin, Gonzalez and Ballard",Retail,Ransomware,682447,55,862668,SOX,2018,4,5,4,1
Ferrell-Rivera,Education,Phishing,865246,47,368513,GDPR,2022,0,4,1,0
Swanson PLC,Retail,DDoS,713808,238,413552,PCI-DSS,2020,4,1,3,0
Moore Ltd,Healthcare,Insider Threat,548984,104,467335,CCPA,2022,3,2,0,0
Rasmussen LLC,Healthcare,DDoS,950778,210,608211,SOX,2015,3,1,4,1
Parker-Blanchard,Education,Insider Threat,850638,42,469303,CCPA,2020,0,2,0,0
Adams-Browning,Education,Malware,987571,316,777451,GDPR,2015,0,3,1,1
Pierce-Rodgers,Government,DDoS,59282,268,729324,PCI-DSS,2015,2,1,3,1
"Weaver, Stewart and Edwards",Technology,Malware,349407,263,262907,GDPR,2022,5,3,1,0
Contreras PLC,Government,Ransomware,301554,336,604193,,2021,2,5,5,1
"Clements, Edwards and Dickerson",Technology,Ransomware,318332,259,804067,CCPA,2017,5,5,0,1
Owens-Ward,Government,Phishing,653191,283,401043,PCI-DSS,2020,2,4,3,0
Sanchez-Martinez,Retail,DDoS,140078,114,441147,,2023,4,1,5,0
Larsen and Sons,Education,Malware,823446,363,394392,PCI-DSS,2021,0,3,3,0
Johnson-Holder,Healthcare,Insider Threat,896882,40,398584,,2017,3,2,5,0
Baker-Brooks,Technology,Ransomware,569767,220,166309,GDPR,2020,5,5,1,0
Johnson and Sons,Technology,Ransomware,471928,129,234337,SOX,2018,5,5,4,0
"Ramirez, Adams and Price",Healthcare,Insider Threat,770288,8,515494,CCPA,2017,3,2,0,1
"Bush, May and Adkins",Government,Malware,258617,101,802719,HIPAA,2023,2,3,2,1
Jimenez-Johnson,Technology,Malware,955254,176,377327,HIPAA,2024,5,3,2,0
"Moore, Morris and Tucker",Retail,DDoS,440197,107,371448,GDPR,2016,4,1,1,0
Johnson LLC,Education,DDoS,308657,101,840304,CCPA,2015,0,1,0,1
"Dennis, Miller and Beard",Healthcare,Credential Theft,137184,260,278348,CCPA,2016,3,0,0,0
Nguyen-Owens,Education,Credential Theft,705575,246,167751,GDPR,2021,0,0,1,0
"Mack, Scott and Jenkins",Technology,Phishing,793683,275,334296,CCPA,2024,5,4,0,0
Delgado Ltd,Technology,Ransomware,582104,32,367443,SOX,2015,5,5,4,0
Martin-Hodge,Healthcare,DDoS,880279,137,150509,GDPR,2020,3,1,1,0
Sanchez-Vasquez,Retail,Malware,748113,12,474391,SOX,2021,4,3,4,0
"Bell, Lester and Lowe",Finance,Insider Threat,691838,302,689689,CCPA,2023,1,2,0,1
"Williams, Rodriguez and Davidson",Healthcare,Malware,698112,16,242809,GDPR,2022,3,3,1,0
Garcia-Johnson,Finance,Ransomware,203602,129,517515,CCPA,2020,1,5,0,1
"Martin, Vargas and Ward",Government,Credential Theft,144639,63,579187,GDPR,2017,2,0,1,1
Hill LLC,Finance,Malware,424326,109,483323,CCPA,2022,1,3,0,0
"Martin, Lopez and Moran",Retail,Phishing,521963,21,537138,SOX,2021,4,4,4,1
Bright-Lopez,Government,Ransomware,122099,158,539465,SOX,2017,2,5,4,1
"Peck, Mata and Ford",Finance,Credential Theft,114893,269,337454,CCPA,2023,1,0,0,0
Maxwell Inc,Government,Insider Threat,972295,162,799716,GDPR,2016,2,2,1,1
Yates and Sons,Finance,Credential Theft,457473,260,749551,HIPAA,2017,1,0,2,1
Arroyo LLC,Retail,Phishing,370421,102,737982,SOX,2016,4,4,4,1
Bush-Fowler,Finance,Ransomware,12389,223,702735,SOX,2015,1,5,4,1
"Hall, Grant and Carter",Finance,Insider Threat,700436,59,185004,,2018,1,2,5,0
Garcia-Nixon,Finance,Phishing,699056,247,685212,HIPAA,2019,1,4,2,1
Harris-Jones,Healthcare,Credential Theft,940775,128,631120,CCPA,2020,3,0,0,1
Hernandez-Williams,Healthcare,Phishing,755901,283,192695,GDPR,2019,3,4,1,0
"Lawson, Garcia and Hodge",Healthcare,Ransomware,257468,325,457017,,2015,3,5,5,0
"Luna, Roberts and Green",Retail,DDoS,86465,25,555358,CCPA,2017,4,1,0,1
Williams-Castillo,Government,Phishing,755050,131,832863,PCI-DSS,2015,2,4,3,1
Sherman Inc,Technology,Phishing,900546,353,644944,SOX,2019,5,4,4,1
Sullivan Group,Finance,Credential Theft,175311,196,327086,PCI-DSS,2019,1,0,3,0
Johnson and Sons,Finance,Credential Theft,179885,281,839077,SOX,2020,1,0,4,1
Hansen Ltd,Retail,Insider Threat,947338,154,508755,SOX,2022,4,2,4,1
Norton Ltd,Finance,Credential Theft,72688,133,448831,PCI-DSS,2024,1,0,3,0
"Douglas, Nichols and Park",Healthcare,Malware,63746,227,434576,PCI-DSS,2015,3,3,3,0
"Bowman, Perez and Carey",Technology,Ransomware,265898,189,175288,CCPA,2018,5,5,0,0
Ramirez PLC,Education,Ransomware,482338,265,478046,,2024,0,5,5,0
Mcclure-Sullivan,Finance,DDoS,805275,134,599497,,2015,1,1,5,1
"Sanchez, Thomas and Boyd",Healthcare,DDoS,834900,211,422923,PCI-DSS,2023,3,1,3,0
Ortiz-Gonzalez,Education,Ransomware,745485,60,584090,CCPA,2021,0,5,0,1
Caldwell and Sons,Technology,DDoS,729632,364,327121,,2021,5,1,5,0
"Stephenson, Gray and Foster",Education,Insider Threat,924045,364,471814,CCPA,2019,0,2,0,0
Brock Inc,Healthcare,Credential Theft,119835,213,563308,CCPA,2021,3,0,0,1
Dixon-Manning,Government,Ransomware,155783,216,537932,SOX,2016,2,5,4,1
"West, Fisher and Farrell",Government,DDoS,906423,226,178906,,2018,2,1,5,0
Morrison and Sons,Education,Ransomware,632359,131,412198,,2021,0,5,5,0
Lopez Inc,Retail,Malware,536537,76,835492,SOX,2017,4,3,4,1
Weber Group,Education,Phishing,362346,286,401510,PCI-DSS,2016,0,4,3,0
"Gutierrez, Abbott and Jackson",Finance,Credential Theft,321433,277,503161,SOX,2024,1,0,4,1
Snyder Ltd,Finance,Ransomware,763364,156,482648,,2016,1,5,5,0
"Crane, Merritt and Schultz",Government,Phishing,939279,248,813647,,2015,2,4,5,1
Moore-Moore,Retail,DDoS,857563,218,758073,PCI-DSS,2019,4,1,3,1
Rodgers Ltd,Healthcare,Phishing,567056,190,661506,SOX,2020,3,4,4,1
Allen-Parker,Finance,Credential Theft,406989,163,305351,GDPR,2020,1,0,1,0
Singh-Garcia,Government,Ransomware,994270,180,571836,GDPR,2023,2,5,1,1
Ward-Copeland,Technology,Malware,612592,34,613588,PCI-DSS,2018,5,3,3,1
Gomez-Love,Government,DDoS,211930,41,360279,SOX,2015,2,1,4,0
King Group,Finance,Ransomware,196601,307,325896,SOX,2020,1,5,4,0
Phillips Ltd,Finance,Credential Theft,416985,338,841002,CCPA,2019,1,0,0,1
Cameron PLC,Government,DDoS,165240,314,439839,,2024,2,1,5,0
"Cruz, Torres and Anderson",Healthcare,Insider Threat,744249,75,822995,HIPAA,2020,3,2,2,1
Velazquez Ltd,Education,Phishing,140607,279,699418,PCI-DSS,2017,0,4,3,1
"Griffin, Reynolds and Murphy",Finance,Credential Theft,225260,176,581575,HIPAA,2016,1,0,2,1
"Davis, Russell and Jackson",Government,Insider Threat,183421,150,590506,HIPAA,2020,2,2,2,1
Arnold-Baker,Government,Ransomware,561772,273,219916,PCI-DSS,2015,2,5,3,0
Chen PLC,Retail,Malware,522098,325,541354,SOX,2021,4,3,4,1
Grant PLC,Education,DDoS,606317,108,783404,PCI-DSS,2021,0,1,3,1
Cox Ltd,Technology,Phishing,914491,139,636267,HIPAA,2024,5,4,2,1
Baker-Franklin,Healthcare,DDoS,600541,350,530867,,2021,3,1,5,1
"Winters, Cline and Robinson",Technology,Ransomware,759516,271,842387,,2024,5,5,5,1
Thornton-Morales,Education,DDoS,75488,347,462991,,2015,0,1,5,0
Simon-Brown,Education,Phishing,555789,289,376088,SOX,2018,0,4,4,0
Patterson-Williams,Education,Ransomware,518827,212,530766,GDPR,2021,0,5,1,1
Holmes LLC,Technology,DDoS,727291,272,653293,PCI-DSS,2023,5,1,3,1
Pham-Ray,Education,Malware,643891,66,156441,,2019,0,3,5,0
Ray-Fisher,Government,Credential Theft,232701,248,556973,PCI-DSS,2016,2,0,3,1
"Friedman, Kerr and Ho",Technology,Ransomware,127934,156,662069,,2021,5,5,5,1
Ingram-Garcia,Education,Credential Theft,34184,47,446071,SOX,2024,0,0,4,0
"Dunn, Blake and Burke",Government,Ransomware,251559,201,721392,GDPR,2015,2,5,1,1
Reynolds Group,Retail,Malware,635029,148,628237,GDPR,2021,4,3,1,1
"Chen, Lee and Lam",Education,Credential Theft,105211,124,928276,,2020,0,0,5,1
Smith-Oliver,Technology,Insider Threat,449142,1,349879,SOX,2021,5,2,4,0
"Murphy, Bates and Davies",Finance,Phishing,429767,247,666141,CCPA,2024,1,4,0,1
Allison-Morgan,Education,Insider Threat,662687,343,296535,PCI-DSS,2017,0,2,3,0
"Hall, Ford and Brewer",Finance,DDoS,163082,128,176926,PCI-DSS,2017,1,1,3,0
Arias-Armstrong,Government,Malware,298285,191,92893,HIPAA,2021,2,3,2,0
Davis-Dunn,Retail,Insider Threat,875452,67,607664,SOX,2016,4,2,4,1
"Porter, Matthews and Hernandez",Healthcare,Ransomware,327925,4,536849,HIPAA,2015,3,5,2,1
"Clark, West and Tucker",Retail,DDoS,234486,303,404189,,2023,4,1,5,0
Ramirez LLC,Education,DDoS,343815,294,145299,HIPAA,2023,0,1,2,0
"Cox, Woods and Johnson",Finance,Insider Threat,196653,143,361922,GDPR,2021,1,2,1,0
"Sanders, Parker and Dillon",Finance,Insider Threat,461892,191,500818,PCI-DSS,2021,1,2,3,1
Harris Group,Technology,Malware,501274,21,658633,HIPAA,2017,5,3,2,1
Duffy-Sharp,Finance,Phishing,784725,227,496692,GDPR,2024,1,4,1,0
Cain Group,Technology,Insider Threat,651944,313,550412,SOX,2016,5,2,4,1
"Wilkerson, Santana and Pitts",Government,Insider Threat,195346,117,424773,HIPAA,2021,2,2,2,0
"Molina, Gutierrez and Mccormick",Healthcare,Credential Theft,550548,302,849844,,2023,3,0,5,1
Taylor Ltd,Education,Ransomware,246342,142,296350,,2015,0,5,5,0
"Johnson, Paul and Watson",Technology,Credential Theft,511183,39,360152,,2018,5,0,5,0
Robertson PLC,Healthcare,Credential Theft,17733,355,401528,PCI-DSS,2020,3,0,3,0
Avila Inc,Finance,DDoS,803546,252,608540,HIPAA,2021,1,1,2,1
Jones Group,Finance,Phishing,867064,333,292228,SOX,2024,1,4,4,0
Noble LLC,Healthcare,Ransomware,49204,207,527143,HIPAA,2021,3,5,2,1
Schroeder Inc,Finance,Malware,959225,210,532982,PCI-DSS,2024,1,3,3,1
"Parker, Stephens and Murphy",Government,Malware,863763,115,361128,GDPR,2016,2,3,1,0
Mclaughlin Ltd,Government,Insider Threat,68488,225,565995,PCI-DSS,2018,2,2,3,1
"Wood, Wilson and Clements",Healthcare,Insider Threat,540402,134,298437,,2019,3,2,5,0
"Clark, Hoffman and Mitchell",Technology,Malware,92678,251,276585,GDPR,2015,5,3,1,0
Adams-Fuller,Technology,Insider Threat,689215,219,519921,,2015,5,2,5,1
Garcia Group,Healthcare,Phishing,564778,91,168048,CCPA,2024,3,4,0,0
"Jenkins, Flores and Smith",Technology,Credential Theft,285955,354,71039,PCI-DSS,2017,5,0,3,0
Reyes Ltd,Technology,Insider Threat,91758,46,606566,PCI-DSS,2024,5,2,3,1
Lopez-Johnson,Government,DDoS,58093,38,709793,SOX,2017,2,1,4,1
"Casey, Ochoa and Smith",Technology,Insider Threat,205868,142,406639,HIPAA,2022,5,2,2,0
Bowman Group,Retail,Ransomware,158385,100,366385,GDPR,2023,4,5,1,0
Clayton-Goodman,Education,Phishing,771248,328,701107,GDPR,2015,0,4,1,1
Thomas-Jacobs,Finance,Ransomware,451100,190,270892,SOX,2016,1,5,4,0
Gibson-Gutierrez,Retail,Ransomware,793953,35,227325,SOX,2024,4,5,4,0
"Matthews, Thompson and Floyd",Technology,DDoS,742396,147,641527,HIPAA,2016,5,1,2,1
"Watts, Doyle and Kirby",Government,Phishing,542115,30,501807,,2018,2,4,5,1
"Mejia, Anderson and Bailey",Healthcare,Phishing,898950,334,712975,HIPAA,2016,3,4,2,1
Anderson Ltd,Technology,Phishing,528746,84,71946,PCI-DSS,2021,5,4,3,0
"Mccullough, Fowler and Benson",Government,Phishing,327352,281,219865,,2023,2,4,5,0
"Murray, Taylor and Wallace",Education,Phishing,257781,344,502866,CCPA,2021,0,4,0,1
"Mckinney, Mason and Salazar",Technology,DDoS,94118,270,583534,HIPAA,2020,5,1,2,1
Walls Group,Healthcare,Insider Threat,386701,154,669399,SOX,2024,3,2,4,1
Nguyen Ltd,Government,Ransomware,949721,102,534963,,2015,2,5,5,1
Levy PLC,Government,Phishing,294154,215,532931,HIPAA,2024,2,4,2,1
Mccullough-Munoz,Government,Insider Threat,651276,150,422119,GDPR,2023,2,2,1,0
Mcclain-Schmidt,Education,Insider Threat,229204,83,818180,CCPA,2019,0,2,0,1
Cochran and Sons,Technology,Ransomware,842286,110,279395,PCI-DSS,2019,5,5,3,0
Thompson-Jackson,Education,DDoS,193610,275,571804,GDPR,2020,0,1,1,1
Maxwell-Smith,Finance,Malware,109947,201,302438,GDPR,2023,1,3,1,0
Bryan-Garcia,Finance,Malware,946975,284,606955,CCPA,2022,1,3,0,1
"Thomas, Johnson and Allen",Technology,Insider Threat,444817,173,292596,PCI-DSS,2022,5,2,3,0
"Williams, Choi and Castro",Education,Credential Theft,454262,327,648763,SOX,2022,0,0,4,1
Anderson Ltd,Healthcare,Credential Theft,824999,206,522420,,2015,3,0,5,1
Hudson-Gray,Government,Ransomware,935229,63,848927,PCI-DSS,2015,2,5,3,1
Lowe-Martinez,Government,Malware,296137,73,443796,HIPAA,2022,2,3,2,0
Brown LLC,Technology,Insider Threat,76429,251,584993,GDPR,2019,5,2,1,1
"Williams, Williams and Sanford",Finance,DDoS,31107,124,344068,HIPAA,2023,1,1,2,0
Barnett Ltd,Finance,Malware,694992,121,442421,SOX,2016,1,3,4,0
Allison Group,Government,Insider Threat,316497,275,521149,HIPAA,2023,2,2,2,1
Barnes and Sons,Technology,Insider Threat,12423,120,194556,PCI-DSS,2022,5,2,3,0
Vazquez-Stafford,Education,Phishing,897867,317,216475,HIPAA,2023,0,4,2,0
Hogan Ltd,Finance,DDoS,112456,164,619971,SOX,2018,1,1,4,1
"Thomas, Kelley and Black",Education,Phishing,635332,286,470782,SOX,2015,0,4,4,0
"Crawford, Keller and Lewis",Finance,Ransomware,204551,265,381414,SOX,2015,1,5,4,0
Butler Inc,Finance,Phishing,931814,320,352602,PCI-DSS,2019,1,4,3,0
Greene PLC,Retail,Phishing,278700,161,360302,SOX,2016,4,4,4,0
Carter-Hall,Finance,Malware,555755,308,522510,GDPR,2022,1,3,1,1
Vargas-Jones,Healthcare,Credential Theft,54724,89,589007,SOX,2024,3,0,4,1
"Woods, Mueller and Peters",Technology,Insider Threat,403422,142,81578,HIPAA,2019,5,2,2,0
Gomez Group,Technology,DDoS,234665,203,782566,,2019,5,1,5,1
Diaz LLC,Education,Phishing,68108,309,768340,HIPAA,2016,0,4,2,1
"Bradshaw, Kirk and Lewis",Finance,DDoS,912458,227,33869,,2021,1,1,5,0
Yang-Hunter,Healthcare,Credential Theft,377639,334,717185,HIPAA,2022,3,0,2,1
Payne-Fowler,Education,Credential Theft,116592,222,711043,PCI-DSS,2024,0,0,3,1
Davis and Sons,Retail,Phishing,72340,41,500089,HIPAA,2015,4,4,2,0
"Parker, Carey and Avila",Education,Ransomware,326559,196,240566,PCI-DSS,2016,0,5,3,0
Matthews-Edwards,Education,Phishing,986853,68,703045,PCI-DSS,2024,0,4,3,1
Nelson-Leonard,Finance,Malware,726047,264,451753,SOX,2018,1,3,4,0
Vang and Sons,Retail,Insider Threat,273000,2,609775,GDPR,2019,4,2,1,1
Flores Ltd,Education,Ransomware,461327,361,943840,,2016,0,5,5,1
"Moore, Lamb and Armstrong",Healthcare,Phishing,298622,125,550367,SOX,2015,3,4,4,1
Wilson-Wagner,Healthcare,DDoS,135427,110,316623,SOX,2023,3,1,4,0
"Wolfe, Banks and Garcia",Technology,Ransomware,932088,86,432853,PCI-DSS,2015,5,5,3,0
Fowler-Oconnor,Retail,Ransomware,650091,120,342110,PCI-DSS,2018,4,5,3,0
Lane PLC,Retail,Phishing,843081,127,586697,,2016,4,4,5,1
"Garcia, Baker and Gray",Technology,Ransomware,165675,255,338786,HIPAA,2018,5,5,2,0
Molina-Miller,Education,DDoS,860326,183,405429,HIPAA,2022,0,1,2,0
"King, Martinez and Gutierrez",Retail,Credential Theft,499599,16,243113,SOX,2022,4,0,4,0
Stanton-Williams,Healthcare,Ransomware,494048,62,473582,CCPA,2023,3,5,0,0
Bray-Davis,Healthcare,Credential Theft,307357,158,535350,CCPA,2019,3,0,0,1
Smith-Mcdonald,Finance,DDoS,598457,268,-36957,HIPAA,2021,1,1,2,0
Fleming-Gonzales,Retail,Phishing,229289,35,551914,CCPA,2017,4,4,0,1
Gordon and Sons,Education,Insider Threat,398565,267,490859,HIPAA,2024,0,2,2,0
Phillips-Mckinney,Technology,Ransomware,251151,64,347001,PCI-DSS,2018,5,5,3,0
Wilson-Clark,Technology,Insider Threat,936805,50,905725,SOX,2024,5,2,4,1
"Cox, Cardenas and Keller",Education,DDoS,649929,255,691695,GDPR,2023,0,1,1,1
"Diaz, Carter and Anderson",Government,Ransomware,714036,149,280719,SOX,2024,2,5,4,0
Sanders-Hurley,Finance,Credential Theft,511878,325,667647,HIPAA,2024,1,0,2,1
Conner-Moreno,Technology,Malware,780741,304,748899,HIPAA,2015,5,3,2,1
Jenkins LLC,Retail,Insider Threat,271930,276,526404,SOX,2016,4,2,4,1
"Davila, Adams and Johnson",Finance,Ransomware,505729,357,572288,,2019,1,5,5,1
"Watkins, Oneal and Moran",Retail,Insider Threat,315607,172,567669,HIPAA,2017,4,2,2,1
"Gonzales, Rodriguez and Meyer",Healthcare,Ransomware,359787,201,82836,CCPA,2016,3,5,0,0
Olson-Booker,Finance,Phishing,656121,324,462626,CCPA,2015,1,4,0,0
Rhodes LLC,Technology,Credential Theft,176015,35,452217,HIPAA,2024,5,0,2,0
Morris Ltd,Finance,Insider Threat,620061,216,786031,HIPAA,2017,1,2,2,1
Copeland-Hodges,Finance,Malware,454279,65,566745,,2015,1,3,5,1
"Warren, Robinson and Weber",Finance,Malware,42928,8,440477,CCPA,2015,1,3,0,0
"Lloyd, Garcia and Harris",Government,DDoS,835136,301,481975,HIPAA,2015,2,1,2,0
"Fields, Bowers and Ramirez",Finance,Ransomware,272770,343,704677,HIPAA,2022,1,5,2,1
"Martin, Ingram and Daniel",Retail,Insider Threat,855442,332,463083,,2017,4,2,5,0
Castro-Kennedy,Healthcare,DDoS,25692,76,360360,,2015,3,1,5,0
Fletcher Group,Education,Insider Threat,291226,174,444859,SOX,2021,0,2,4,0
"Taylor, Vega and Simmons",Finance,Ransomware,786739,47,688139,,2024,1,5,5,1
Wilson-Moore,Technology,Malware,232141,15,599232,GDPR,2017,5,3,1,1
Santos-Johnson,Finance,Phishing,350977,361,508853,CCPA,2022,1,4,0,1
Roach Group,Technology,Malware,754396,147,538307,SOX,2018,5,3,4,1
"Gray, Cook and Rice",Retail,DDoS,125082,26,388051,GDPR,2018,4,1,1,0
Johnson-Fox,Technology,Credential Theft,257011,308,461210,HIPAA,2019,5,0,2,0
Andrade and Sons,Education,Phishing,68719,93,367339,HIPAA,2020,0,4,2,0
Moore Group,Healthcare,DDoS,684788,232,441044,SOX,2021,3,1,4,0
Wilson-Morgan,Technology,Ransomware,308723,21,769235,,2018,5,5,5,1
Davis-Lawson,Technology,Phishing,501743,307,284425,HIPAA,2022,5,4,2,0
Meyer Ltd,Healthcare,DDoS,151275,38,362256,PCI-DSS,2020,3,1,3,0
Thomas and Sons,Education,Ransomware,171063,276,249140,SOX,2015,0,5,4,0
Murphy and Sons,Finance,Malware,141926,157,205818,GDPR,2015,1,3,1,0
Smith PLC,Technology,Credential Theft,755443,179,462645,SOX,2023,5,0,4,0
Bradford-Mendoza,Healthcare,Ransomware,867969,132,376478,CCPA,2024,3,5,0,0
"Norton, Hamilton and Braun",Retail,Insider Threat,98640,311,852337,,2020,4,2,5,1
"Duncan, Bradley and Rodriguez",Healthcare,Ransomware,859514,348,443430,,2024,3,5,5,0
"Palmer, Bradshaw and Thompson",Retail,Ransomware,627135,28,757879,SOX,2022,4,5,4,1
Hamilton-Mccall,Education,Credential Theft,187094,260,693601,HIPAA,2021,0,0,2,1
"Taylor, Paul and Pacheco",Finance,Insider Threat,310475,76,458209,HIPAA,2020,1,2,2,0
Wright-Shelton,Healthcare,DDoS,29401,67,922027,PCI-DSS,2018,3,1,3,1
Ho LLC,Government,DDoS,222824,342,553706,PCI-DSS,2021,2,1,3,1
Collins and Sons,Technology,Ransomware,514103,194,802601,,2023,5,5,5,1
Rosales LLC,Education,Insider Threat,193883,162,779319,PCI-DSS,2024,0,2,3,1
Mitchell-Martinez,Healthcare,Insider Threat,696783,347,582929,GDPR,2024,3,2,1,1
Rhodes-Simon,Technology,Credential Theft,18852,361,650226,PCI-DSS,2021,5,0,3,1
"Lee, Smith and Stone",Healthcare,Malware,737665,257,624814,GDPR,2015,3,3,1,1
Martinez Inc,Retail,DDoS,884984,72,271147,PCI-DSS,2024,4,1,3,0
"Gallagher, Vaughan and Mendez",Healthcare,Credential Theft,668855,87,511458,,2023,3,0,5,1
"Savage, Taylor and Lutz",Government,Phishing,217129,262,714849,,2018,2,4,5,1
"Holmes, Taylor and Beck",Healthcare,DDoS,907769,214,805237,GDPR,2017,3,1,1,1
Jordan-Foster,Healthcare,Credential Theft,56373,153,355872,SOX,2018,3,0,4,0
"Johnson, Delgado and Roberson",Government,DDoS,258603,210,605766,,2018,2,1,5,1
Johnson and Sons,Education,Malware,616266,61,530174,SOX,2024,0,3,4,1
"Dean, Romero and Wolfe",Healthcare,Phishing,791427,268,476425,HIPAA,2016,3,4,2,0
Thomas-Knight,Government,Malware,120068,262,571200,GDPR,2015,2,3,1,1
"Adams, Obrien and Jones",Technology,Phishing,377944,218,543599,,2024,5,4,5,1
Davis-Thomas,Retail,Ransomware,600947,283,608281,CCPA,2015,4,5,0,1
"Wright, Alexander and Joseph",Retail,Credential Theft,10799,136,788343,HIPAA,2022,4,0,2,1
Olson-Reyes,Healthcare,Phishing,196233,362,656825,SOX,2016,3,4,4,1
Nichols-Gonzalez,Education,Malware,534103,93,562118,,2024,0,3,5,1
Mosley-Barrett,Education,DDoS,19269,109,872925,GDPR,2019,0,1,1,1
"Williams, Davis and Taylor",Technology,Phishing,518752,241,721985,PCI-DSS,2018,5,4,3,1
Vega-Lee,Healthcare,Credential Theft,118513,355,481520,CCPA,2022,3,0,0,0
Martinez-Richmond,Retail,Phishing,933767,142,256575,SOX,2016,4,4,4,0
Young-Brown,Education,Insider Threat,643652,291,302433,HIPAA,2024,0,2,2,0
Jennings and Sons,Healthcare,DDoS,268026,237,686646,GDPR,2023,3,1,1,1
Edwards-Combs,Education,Credential Theft,743637,340,373937,CCPA,2021,0,0,0,0
Moore Group,Government,Credential Theft,523088,312,298388,GDPR,2021,2,0,1,0
Clark-Smith,Education,Ransomware,124581,177,348382,,2015,0,5,5,0
Hunt Ltd,Retail,Malware,215500,141,362523,PCI-DSS,2016,4,3,3,0
"Price, Jones and Byrd",Finance,Ransomware,559973,189,670129,HIPAA,2018,1,5,2,1
"Webb, Solis and Hogan",Technology,Credential Theft,817214,49,468651,GDPR,2018,5,0,1,0
Schmidt-Cooper,Technology,DDoS,179036,302,225525,SOX,2017,5,1,4,0
"Douglas, Brown and Henry",Retail,Phishing,392236,190,506208,,2021,4,4,5,1
"Smith, Davis and Conley",Education,Phishing,870948,136,544453,,2022,0,4,5,1
Gibson Ltd,Healthcare,DDoS,448430,43,404132,HIPAA,2016,3,1,2,0
Blanchard-Torres,Education,Credential Theft,390054,353,731177,,2018,0,0,5,1
Bush-Foster,Retail,Phishing,38167,90,415812,SOX,2017,4,4,4,0
Hill-Bell,Technology,Phishing,698145,295,721667,GDPR,2016,5,4,1,1
Sweeney-Lambert,Education,Phishing,777722,341,619356,HIPAA,2020,0,4,2,1
"Hill, Mejia and Myers",Technology,Malware,18173,245,685321,,2018,5,3,5,1
"Walton, Oliver and Harris",Healthcare,Malware,36135,192,280289,,2020,3,3,5,0
Franklin Group,Technology,Insider Threat,196149,318,519662,SOX,2016,5,2,4,1
Peterson-Villanueva,Technology,Ransomware,233882,106,489434,PCI-DSS,2018,5,5,3,0
